Tag ID,Marketplace Tag Name,Tag Title,Tag Status,Tag Load Rule Mappings,Tag Data Mappings
,,,,,js.obj_typeOfFlat - obj_type,
,,,,,js.obj_zipCode - obj_zipcode,
,,,,,js.psn_gender - psn_gender,

1105,Bing Ads Universal Event Tracking (UET),"Bing (F-L) Baufi (m008)",active,cp.utag_main_bing_optout,js.evt_ga_action - ea,
,,,,js.bing_load,js.evt_ga_category - ec,
,,,,js.cmp_load,js.evt_ga_label - el,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,

1117,Bing Ads Universal Event Tracking (UET),"Bing (NHB) Haubau KatalogLead (m050)",inactive,cp.utag_main_bing_optout,js.evt_ga_action - ea,
,,,,js.bing_load,js.evt_ga_category - ec,
,,,,js.cmp_load,js.evt_ga_label - el,
,,,,js.evt_event,,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.evt_leadtype,,
,,,,js.pag_pagetitle,,
,,,,js_page.utag.cfg.path,,

1122,Google Universal Analytics,"Google Universal Analytics for Marketplace",inactive,cp.utag_main_ga_optout,cp.utag_main_psn_usr_login_cookie - dimension7, dimension8,
,,,,js.autotracked,dom.domain - set.&amp;dh,
,,,,js.ivw_picture,dom.referrer - dimension17,
,,,,js.pag_pagetitle,dom.url - dimension1,
,,,,js.svc_module_name,js.ab_chs - dimension79,
,,,,,js.adid - set.&amp;adid,
,,,,,js.cmp_creative - enh_promo_creative,
,,,,,js.cmp_id - enh_promo_id,
,,,,,js.cmp_name - enh_promo_name,
,,,,,js.cmp_position - enh_promo_position,
,,,,,js.com_cit_articlenumber - dimension20,
,,,,,js.com_cit_productfamily - dimension21,
,,,,,js.com_con_paymentmethod - dimension23, enh_checkout_option,
,,,,,js.enh_action - enh_action,
,,,,,js.evt_ga_action - eventAction,
,,,,,js.evt_ga_category - eventCategory,
,,,,,js.evt_ga_label - eventLabel,
,,,,,js.evt_ga_value - eventValue,
,,,,,js.evt_lafid - dimension182,
,,,,,js.evt_mid - dimension2,
,,,,,js.evt_ozahl - dimension150,
,,,,,js.evt_sart - dimension151,
,,,,,js.evt_type - nonInteraction,
,,,,,js.ga_account_id - account,
,,,,,js.ga_ad_tracking_enabled - set.&amp;ate,
,,,,,js.ga_appname - appName,
,,,,,js.ga_cd_app_push - dimension18,
,,,,,js.ga_cd_appentry - dimension175,
,,,,,js.ga_cd_application_requirements - dimension156,
,,,,,js.ga_cd_commercial_search_objecttypefilter - pageview-dimension160,
,,,,,js.ga_cd_commercial_search_pricetypefilter - pageview-dimension158,
,,,,,js.ga_cd_commercial_search_tempoffices - dimension194,
,,,,,js.ga_cd_contactmanager_bulk - dimension197,
,,,,,js.ga_cd_cxp_abtest - dimension96,
,,,,,js.ga_cd_cxp_current_state - dimension134,
,,,,,js.ga_cd_cxp_historicallisting - dimension157,
,,,,,js.ga_cd_cxp_interactivepic - dimension146,
,,,,,js.ga_cd_cxp_notifcationpermission - dimension142,
,,,,,js.ga_cd_cxp_previous_state - dimension135,
,,,,,js.ga_cd_cxp_referrer - dimension163,
,,,,,js.ga_cd_developer_clickoutlocation - link-dimension148,
,,,,,js.ga_cd_developer_contactlayerlocation - pageview-dimension144,
,,,,,js.ga_cd_developer_contactlocation - link-dimension147,
,,,,,js.ga_cd_developer_pre_filled_form - dimension130,
,,,,,js.ga_cd_developer_projectid - dimension178,
,,,,,js.ga_cd_developer_projectref - dimension154,
,,,,,js.ga_cd_developer_projecttype - dimension174,
,,,,,js.ga_cd_developer_sold_properties - link-dimension145,
,,,,,js.ga_cd_developer_virtualreality - dimension176,
,,,,,js.ga_cd_disctrictype - dimension166,
,,,,,js.ga_cd_districtcount - dimension167,
,,,,,js.ga_cd_finance_exclusivity - dimension131,
,,,,,js.ga_cd_homepage_state - dimension133,
,,,,,js.ga_cd_mailingdate - dimension179,
,,,,,js.ga_cd_messenger_status - dimension168,
,,,,,js.ga_cd_messenger_totalmessages - dimension180,
,,,,,js.ga_cd_messenger_unreadmessages - dimension181,
,,,,,js.ga_cd_notification_switch_lastsearch - dimension139,
,,,,,js.ga_cd_notification_switch_messenger - dimension138,
,,,,,js.ga_cd_notification_switch_savedsearch - dimension137,
,,,,,js.ga_cd_notificationentry - dimension184,
,,,,,js.ga_cd_notificationstatus - dimension187,
,,,,,js.ga_cd_profile_status - dimension152,
,,,,,js.ga_cd_profilecontact - link-dimension188,
,,,,,js.ga_cd_profireport_specs - dimension153,
,,,,,js.ga_cd_pushtopic - dimension140,
,,,,,js.ga_cd_resultlist_map - dimension195,
,,,,,js.ga_cd_searchfilter - dimension164,
,,,,,js.ga_cd_searchtypefilter - pageview-dimension161,
,,,,,js.ga_cd_test_cj_1 - dimension89,
,,,,,js.ga_cd_test_commercial_two - dimension92,
,,,,,js.ga_cd_test_conmon - dimension83,
,,,,,js.ga_cd_test_cxp - dimension77,
,,,,,js.ga_cd_test_cxp_2 - dimension78,
,,,,,js.ga_cd_test_cxp_SSO - dimension94,
,,,,,js.ga_cd_test_developer - dimension84,
,,,,,js.ga_cd_test_ppa_2 - dimension95,
,,,,,js.ga_cd_textsize - link-dimension185,
,,,,,js.ga_cd_valuation_clicker_type - dimension169,
,,,,,js.ga_cm_application_package_self_report_event - link-metric60,
,,,,,js.ga_cm_clickout_electricity - link-metric69,
,,,,,js.ga_cm_clickout_finance - link-metric11,
,,,,,js.ga_cm_clickout_homebuilder_partner_ext - link-metric51,
,,,,,js.ga_cm_clickout_homebuilder_partner_int - link-metric52,
,,,,,js.ga_cm_clickout_insurance - link-metric72,
,,,,,js.ga_cm_clickout_internet - link-metric70,
,,,,,js.ga_cm_clickout_ksv - link-metric71,
,,,,,js.ga_cm_clickout_relocation - link-metric12,
,,,,,js.ga_cm_conmon_applicationpackagecreate - link-metric54,
,,,,,js.ga_cm_conmon_profilecreate - link-metric38,
,,,,,js.ga_cm_contact_call - link-metric2,
,,,,,js.ga_cm_contact_call_com - link-metric40,
,,,,,js.ga_cm_contact_call_developer - link-metric64,
,,,,,js.ga_cm_contact_mail - link-metric1,
,,,,,js.ga_cm_contact_mail_com - link-metric39,
,,,,,js.ga_cm_contact_mail_dev - link-metric48,
,,,,,js.ga_cm_contact_mail_save_object - pageview-metric1, pageview-metric4,
,,,,,js.ga_cm_contact_mail_save_object_com - pageview-metric39,
,,,,,js.ga_cm_contact_mail_save_object_dev - pageview-metric48,
,,,,,js.ga_cm_contact_phonereveal - link-metric3,
,,,,,js.ga_cm_contact_phonereveal_com - link-metric41,
,,,,,js.ga_cm_contact_phonereveal_dev - link-metric55,
,,,,,js.ga_cm_districtsearch - link-metric66,
,,,,,js.ga_cm_expose_view - link-metric14,
,,,,,js.ga_cm_lead - link-metric16,
,,,,,js.ga_cm_lead_businessdirectory - link-metric19,
,,,,,js.ga_cm_lead_commercial - link-metric18,
,,,,,js.ga_cm_lead_developer - link-metric10,
,,,,,js.ga_cm_lead_finance - link-metric8,
,,,,,js.ga_cm_lead_finance_co - link-metric35,
,,,,,js.ga_cm_lead_finance_le - link-metric34,
,,,,,js.ga_cm_lead_finance_le_co - link-metric33,
,,,,,js.ga_cm_lead_homebuilder - link-metric17,
,,,,,js.ga_cm_lead_homebuilder_catalogue - link-metric50,
,,,,,js.ga_cm_lead_homebuilder_leadpartner - link-metric49,
,,,,,js.ga_cm_lead_homeowner - link-metric20,
,,,,,js.ga_cm_lead_relocation - link-metric9,
,,,,,js.ga_cm_lead_relocation_le_clearing - link-metric46,
,,,,,js.ga_cm_lead_relocation_le_commercial - link-metric44,
,,,,,js.ga_cm_lead_relocation_le_piano - link-metric45,
,,,,,js.ga_cm_lead_relocation_le_private - link-metric43,
,,,,,js.ga_cm_lead_relocation_le_small - link-metric36,
,,,,,js.ga_cm_lead_relocation_le_storage - link-metric47,
,,,,,js.ga_cm_radiussearch - link-metric65,
,,,,,js.ga_cm_radiussize - dimension165,
,,,,,js.ga_cm_relocation_cancellation_template - link-metric53,
,,,,,js.ga_cm_sales_all - link-metric13,
,,,,,js.ga_cm_sales_boni - link-metric28,
,,,,,js.ga_cm_sales_boni_iphone - pageview-metric28, pageview-metric74,
,,,,,js.ga_cm_sales_boni_schufa - link-metric74,
,,,,,js.ga_cm_sales_electricrate - link-metric56,
,,,,,js.ga_cm_sales_energycertificate - link-metric37,
,,,,,js.ga_cm_sales_ibw - link-metric29,
,,,,,js.ga_cm_sales_mietpreischeck - link-metric30,
,,,,,js.ga_cm_sales_ppa - link-metric27,
,,,,,js.ga_cm_sales_suchanzeige - link-metric32,
,,,,,js.ga_cm_sales_transportservice - link-metric31,
,,,,,js.ga_cm_sales_valuation_property_check - link-metric77,
,,,,,js.ga_cm_sales_valuation_real_estate_check - link-metric78,
,,,,,js.ga_cm_save_object - link-metric4,
,,,,,js.ga_cm_save_object_expose_view - pageview-metric4, pageview-metric14,
,,,,,js.ga_cm_save_object_expose_view_user_login - pageview-metric4, pageview-metric14, pageview-metric7,
,,,,,js.ga_cm_save_object_expose_view_user_registration - pageview-metric4, pageview-metric14, pageview-metric6,
,,,,,js.ga_cm_save_object_user_login - pageview-metric4, pageview-metric7,
,,,,,js.ga_cm_save_object_user_registration - pageview-metric4, pageview-metric6,
,,,,,js.ga_cm_save_search - link-metric5,
,,,,,js.ga_cm_save_search_search - pageview-metric5, pageview-metric15,
,,,,,js.ga_cm_save_search_search_user_login - pageview-metric5, pageview-metric15, pageview-metric7,
,,,,,js.ga_cm_save_search_search_user_registration - pageview-metric5, pageview-metric15, pageview-metric6,
,,,,,js.ga_cm_save_search_user_login - pageview-metric5, pageview-metric7,
,,,,,js.ga_cm_save_search_user_registration - pageview-metric5, pageview-metric6,
,,,,,js.ga_cm_search - link-metric15,
,,,,,js.ga_cm_social_like_facebook - link-metric26,
,,,,,js.ga_cm_social_share - link-metric21,
,,,,,js.ga_cm_social_share_email - link-metric22,
,,,,,js.ga_cm_social_share_facebook - link-metric23,
,,,,,js.ga_cm_social_share_google - link-metric25,
,,,,,js.ga_cm_social_share_twitter - link-metric24,
,,,,,js.ga_cm_user_login - link-metric7,
,,,,,js.ga_cm_user_registration - link-metric6,
,,,,,js.ga_cm_user_registration_homeowner - pageview-metric42,
,,,,,js.ga_enable_screen_view - screenView,
,,,,,js.ga_event_override - a,
,,,,,js.ga_sitespeedsamplerate - siteSpeedSampleRate,
,,,,,js.geo_bln - dimension27,
,,,,,js.geo_krs - dimension28,
,,,,,js.geo_land - dimension26,
,,,,,js.geo_plz - dimension29,
,,,,,js.idfa - set.&amp;idfa,
,,,,,js.krux_segments - dimension19,
,,,,,js.obj_ExclusiveExpose - dimension183,
,,,,,js.obj_ityp - dimension3,
,,,,,js.obj_mapzahl - dimension155,
,,,,,js.obj_nbp - dimension200,
,,,,,js.obj_nbp_apps - link-dimension186,
,,,,,js.obj_ozahl - dimension199,
,,,,,js.obj_privinsertion - dimension191,
,,,,,js.obj_scoutid - dimension4,
,,,,,js.orientation - dimension143,
,,,,,js.pag_content - dimension198,
,,,,,js.pag_dg1 - contentGroup1,
,,,,,js.pag_dg2 - contentGroup2,
,,,,,js.pag_dg3 - contentGroup3,
,,,,,js.pag_dg4 - contentGroup4,
,,,,,js.pag_dg5 - contentGroup5,
,,,,,js.pag_pagetitle - location, screenName,
,,,,,js.pag_source - pageview-dimension177,
,,,,,js.psn_act_commercial - dimension31, dimension32,
,,,,,js.psn_usr_appversion - appVersion,
,,,,,js.psn_usr_login_type - dimension34,
,,,,,js.psn_usr_segment - dimension33,
,,,,,js.psn_usr_ssoid - dimension5, dimension6,
,,,,,js.svc_consumer_ftr - dimension16,
,,,,,js.svc_consumer_sco - dimension22,
,,,,,js.svc_consumer_sso - dimension15,
,,,,,js.svc_internal_ip - dimension30,
,,,,,js.svc_module_name - dimension9,
,,,,,js.utm_campaign - campaignName,
,,,,,js.utm_content - campaignContent,
,,,,,js.utm_medium - campaignMedium,
,,,,,js.utm_source - campaignSource,
,,,,,qp.ga_cd_developer_project_app - dimension196,
,,,,,qp.qa_traffic - dimension136,
,,,,,qp.utm_campaign - campaignName, dimension14, dimension173,
,,,,,qp.utm_content - campaignContent, dimension13, dimension172,
,,,,,qp.utm_medium - campaignMedium, dimension11, dimension171,
,,,,,qp.utm_source - campaignSource, dimension10, dimension170,
,,,,,qp.utm_term - campaignKeyword, dimension12,

1125,Mouseflow,"Developer | 1 | Highrise Professional",inactive,js.cmp_load,js.pag_pagetitle - page_url,
,,,,js.ga_cd_developer_projecttype,,
,,,,js.mouseflow_inc_load,,

1129,Mouseflow,"CS | 1 | Relocation",inactive,js.cmp_load,cp.utag_main_psn_usr_login_cookie - loginStatus,
